probeset_id,gene_symbol,pvalue,FDR,logFC,LCC1-P18.CEL,LCC1-P19.CEL,LCC1-P20.CEL,LCC9 -P12.CEL,LCC9 -P13.CEL,LCC9 -P14.CEL
235542_at,TET3,0.002920345,0.011378623,-0.311780866,10.73094809,10.91156333,10.73197203,10.44654231,10.52052448,10.47207406
224789_at,DCAF12,0.002922793,0.011386269,-0.369587914,9.606479096,9.707536499,9.600252073,9.110382746,9.410836984,9.284284195
212319_at,SGSM2,0.002925216,0.011393816,-0.370990122,7.348464313,7.500860434,7.49607854,7.041040976,6.96054076,7.230851187
212818_s_at,ASB1,0.002926252,0.011395958,-0.284892366,6.965600621,6.886682106,6.884307283,6.687445362,6.637619167,6.556848383
219211_at,USP18,0.002927813,0.011400145,0.283798795,8.689319398,8.768707924,8.712050966,8.984469756,8.953631188,9.08337373
202745_at,USP8,0.002933779,0.011421478,-0.328821915,9.607371046,9.608859433,9.537958338,9.142728556,9.382904615,9.242089901
209628_at,NXT2,0.002934568,0.011422654,0.27666041,9.281328376,9.238095345,9.296407547,9.492430018,9.616276348,9.537106132
230157_at,CDH24,0.002941917,0.011449359,-0.28790274,8.135827714,8.179199752,8.290993244,7.882850486,7.933766861,7.925695143
201810_s_at,SH3BP5,0.002945803,0.011460679,0.299770311,10.03951435,10.037698,10.0297393,10.22287487,10.37919255,10.40419517
208156_x_at,EPPK1,0.002945387,0.011460679,-0.410738877,8.150820978,8.441746855,8.446292866,7.8265194,7.967715379,8.012409288
236356_at,NDUFS1,0.002950898,0.011478597,-0.45348383,8.375525709,8.273782087,8.253649023,7.605910584,8.026457636,7.91013711
209421_at,MSH2,0.002961356,0.011516293,-0.38369967,10.22053392,10.07781227,10.18624331,9.630814153,9.94448791,9.75818842
224884_at,AKAP13,0.002961571,0.011516293,-0.2777473,7.195826097,7.090221888,7.094446873,6.805572315,6.858232527,6.883448115
222447_at,METTL9,0.002962144,0.011516612,-0.25824442,8.940136849,8.903468952,8.926760922,8.677954762,8.689129341,8.628549361
209094_at,DDAH1,0.002964795,0.011525008,-0.278723666,10.94193634,10.87284755,10.84769454,10.61676623,10.65890773,10.55063346
202454_s_at,ERBB3,0.002965559,0.011526067,-0.351601247,9.697456639,9.889220042,9.774168044,9.334108947,9.415671889,9.556260147
204141_at,TUBB2A,0.002966164,0.011526508,0.3239901,10.25547493,10.46408091,10.41126794,10.63405549,10.72456786,10.74417074
216705_s_at,ADA,0.002966771,0.011526788,0.334884155,6.512158986,6.350574336,6.424187048,6.884816363,6.720387279,6.686369193
235926_at,ANAPC5,0.002967219,0.011526788,-0.423276625,7.865751724,8.129390127,8.189427676,7.517826804,7.736958791,7.659954059
218099_at,TEX2,0.002967783,0.01152707,-0.280075921,9.178902189,9.228694724,9.163778372,8.843657532,8.97765184,8.909838152
209141_at,UBE2G1,0.00296865,0.011528528,0.309773506,10.39983056,10.59567682,10.5027913,10.75782208,10.81507449,10.85472264
220643_s_at,FAIM,0.002969985,0.011531803,-0.460048963,10.05895429,9.896729138,9.872193231,9.273122974,9.690029293,9.484577501
215285_s_at,PHTF1,0.002973394,0.011543128,-0.333698268,9.159458027,9.093909692,9.157631304,8.773832184,8.942562721,8.693509314
231300_at,C16orf93,0.002975924,0.011551038,-0.332696006,6.382013689,6.514182741,6.612914807,6.106054514,6.230775456,6.174193251
204136_at,COL7A1,0.002980267,0.011565981,0.390790458,6.525214804,6.545528611,6.334706938,6.713279818,6.987299699,6.877242209
227442_at,COX18,0.002983298,0.011575828,0.256950751,8.862070497,8.877286549,8.894462393,9.113822872,9.170035812,9.120813007
212254_s_at,DST,0.002983876,0.011576155,0.378647596,8.987071401,9.249149003,9.15998434,9.450212424,9.634140655,9.447794452
